Codes,Number of coding references,Aggregate number of coding references,Number of items coded,Aggregate number of items coded
Codes\\notes_themes\\change\changing today,1,1,1,1
Codes\\notes_themes\\change\climate change,6,6,1,1
Codes\\notes_themes\\change\crab change,1,1,1,1
Codes\\notes_themes\\change\environmental changes,3,3,1,1
Codes\\notes_themes\\change\everything change,1,1,1,1
Codes\\notes_themes\\change\observed climate change,3,3,1,1
Codes\\notes_themes\\change\rivers change,4,4,1,1
Codes\\notes_themes\\change\words climate change,2,2,1,1
Codes\\notes_themes\\fish\beach cabin fish,3,3,1,1
Codes\\notes_themes\\fish\big fish,2,2,1,1
Codes\\notes_themes\\fish\bled fish,2,2,1,1
Codes\\notes_themes\\fish\bottom drag fishing,2,2,1,1
Codes\\notes_themes\\fish\commercial fishing,14,14,1,1
Codes\\notes_themes\\fish\commercial fishing vessel,4,4,1,1
Codes\\notes_themes\\fish\daughters fish,2,2,1,1
Codes\\notes_themes\\fish\deep water fish,2,2,1,1
Codes\\notes_themes\\fish\didnt fish,1,1,1,1
Codes\\notes_themes\\fish\dollar fish,2,2,1,1
Codes\\notes_themes\\fish\dollar tuna fish,2,2,1,1
Codes\\notes_themes\\fish\fam fish camp,1,1,1,1
Codes\\notes_themes\\fish\family—fishing,1,1,1,1
Codes\\notes_themes\\fish\fish camp,2,2,1,1
Codes\\notes_themes\\fish\fish camp site,1,1,1,1
Codes\\notes_themes\\fish\fish company,4,4,1,1
Codes\\notes_themes\\fish\fish compost,1,1,1,1
Codes\\notes_themes\\fish\fish festival,1,1,1,1
Codes\\notes_themes\\fish\fish places,4,4,1,1
Codes\\notes_themes\\fish\fish volume,4,4,1,1
Codes\\notes_themes\\fish\fishing cod,4,4,1,1
Codes\\notes_themes\\fish\fishing family,2,2,1,1
Codes\\notes_themes\\fish\fishing kings,1,1,1,1
Codes\\notes_themes\\fish\fishing limits,2,2,1,1
Codes\\notes_themes\\fish\fishing partner,2,2,1,1
Codes\\notes_themes\\fish\fishing prices,1,1,1,1
Codes\\notes_themes\\fish\fishing uncertainty,1,1,1,1
Codes\\notes_themes\\fish\fishing wise,4,4,1,1
Codes\\notes_themes\\fish\frozen fish heads,1,1,1,1
Codes\\notes_themes\\fish\individual fish,1,1,1,1
Codes\\notes_themes\\fish\man fishing,2,2,1,1
Codes\\notes_themes\\fish\much fish,2,2,1,1
Codes\\notes_themes\\fish\n’t fishing,1,1,1,1
Codes\\notes_themes\\fish\nets fish,4,4,1,1
Codes\\notes_themes\\fish\pound fish,1,1,1,1
Codes\\notes_themes\\fish\quality fish,1,1,1,1
Codes\\notes_themes\\fish\red fish,1,1,1,1
Codes\\notes_themes\\fish\regarding fishing,2,2,1,1
Codes\\notes_themes\\fish\season fish,2,2,1,1
Codes\\notes_themes\\fish\sister fish subsistence,4,4,1,1
Codes\\notes_themes\\fish\small fish processing businesses,1,1,1,1
Codes\\notes_themes\\fish\started fishing,1,1,1,1
Codes\\notes_themes\\fish\stopped fishing,4,4,1,1
Codes\\notes_themes\\fish\subsistence fishing,14,14,1,1
Codes\\notes_themes\\fish\women fishing,3,3,1,1
Codes\\notes_themes\\net\casting net,4,4,1,1
Codes\\notes_themes\\net\fishery set netters,2,2,1,1
Codes\\notes_themes\\net\net fishery,5,5,1,1
Codes\\notes_themes\\net\net permits,4,4,1,1
Codes\\notes_themes\\net\net setting,12,12,1,1
Codes\\notes_themes\\net\nets fish,4,4,1,1
Codes\\notes_themes\\net\subsistence net,3,3,1,1
Codes\\notes_themes\\net\vs drift netting,4,4,1,1